ticker,index_ticker,comment
600693.SS,000001.SS,Fujian Dongbai Group Co Ltd
600033.SS,000001.SS,Fujian Expressway Development Co Ltd
600483.SS,000001.SS,"FUJIAN FUNENG CO., LTD"
600203.SS,000001.SS,Fujian Furi Electronics Co Ltd
600493.SS,000001.SS,"Fujian Fynex Textile Science & Technology Co.,Ltd"
603817.SS,000001.SS,"Fujian Haixia Environmental Protection Group Co.,Ltd."
603826.SS,000001.SS,"Fujian Kuncai Material Technology Co.,Ltd."
600388.SS,000001.SS,Fujian Longking Co Ltd
603686.SS,000001.SS,"Fujian Longma Environmental Sanitation Equipment Co., Ltd."
600592.SS,000001.SS,Fujian Longxi Bearing (Group) Co Ltd
600103.SS,000001.SS,Fujian Qingshan Paper Industry Co Ltd
603933.SS,000001.SS,"FUJIAN RAYNEN TECHNOLOGY CO.,LTD."
600734.SS,000001.SS,"Fujian Start Group Co.,Ltd"
603668.SS,000001.SS,"FUJIAN TIANMA SCIENCE AND TECHNOLOGY GROUP CO., LTD."
603678.SS,000001.SS,"FUJIAN TORCH ELECTRON TECHNOLOGY CO.,LTD."
600573.SS,000001.SS,Fujian Yanjing Huiquan Brewery Co Ltd
600781.SS,000001.SS,"FUREN Group Pharmaceutical Co., Ltd."
600399.SS,000001.SS,Fushun Special Steel Co Ltd
601155.SS,000001.SS,"Future Land Holdings Co., Ltd."
600660.SS,000001.SS,"Fuyao Glass Industry Group Co.,Ltd"
603886.SS,000001.SS,"Ganso Co., Ltd."
600354.SS,000001.SS,"Gansu Dunhuang Seed Group Co.,Ltd."
600687.SS,000001.SS,"Gansu Gangtai Holding(Group) Co.,Ltd"
601086.SS,000001.SS,"Gansu Guofang Industry & Trade (Group) Co., Ltd."
600307.SS,000001.SS,Gansu Jiu Steel Group Hongxing Iron & Steel Co Ltd
600543.SS,000001.SS,Gansu Mogao Industrial Development Co Ltd
600720.SS,000001.SS,"Gansu Qilianshan Cement Group Co.,Ltd."
600311.SS,000001.SS,Gansu Ronghua Industry Group Co Ltd
600108.SS,000001.SS,Gansu Yasheng Industrial (Group) Co Ltd
603444.SS,000001.SS,"G-bits Network Technology(Xiamen)Co., Ltd."
600795.SS,000001.SS,GD Power Development Co Ltd
600383.SS,000001.SS,Gemdale Corporation
601002.SS,000001.SS,"Gem-Year Industrial Co.,Ltd."
600759.SS,000001.SS,Geo-Jade Petroleum Corporation
603387.SS,000001.SS,"Getein Biotech, Inc."
603986.SS,000001.SS,GigaDevice Semiconductor (Beijing) Inc.
600080.SS,000001.SS,Ginwa Enterprise (Group) Inc
600182.SS,000001.SS,Giti Tire Corporation
600562.SS,000001.SS,"Glarun Technology Co.,Ltd."
600898.SS,000001.SS,"Gome Telecom Equipment Co., Ltd."
603256.SS,000001.SS,"GRACE FABRIC TECHNOLOGY CO.,LTD"
600323.SS,000001.SS,"Grandblue Environment Co.,Ltd."
601633.SS,000001.SS,Great Wall Motor Co Ltd
603336.SS,000001.SS,"GREAT-SUN FOODS CO.,LTD."
600094.SS,000001.SS,Greattown Holdings Ltd
900940.SS,000001.SS,Greattown Holdings Ltd
600185.SS,000001.SS,"Gree Real Estate Co.,Ltd"
600606.SS,000001.SS,Greenland Holdings Corporation Limited
600206.SS,000001.SS,"GRINM ADVANCED MATERIALS CO., LTD."
603838.SS,000001.SS,"GUANG DONG SITONG GROUP CO., LTD."
600083.SS,000001.SS,"Guangdong Boxin Investing & Holdings Co.,Ltd"
603386.SS,000001.SS,"Guangdong Champion Asia Electronics CO.,LTD."
603335.SS,000001.SS,Guangdong Dcenti Auto-Parts Stock Limited Company
603328.SS,000001.SS,"Guangdong Ellington Electronics Technology Co., Ltd"
603813.SS,000001.SS,"GuangDong GenSho Logistics CO., LTD."
