ticker,index_ticker,comment
KHC,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
KIM,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
KLAC,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
KMB,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
KMI,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
KMX,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
KO,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
KR,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
KSS,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
KSU,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
L,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
LB,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
LDOS,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
LEG,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
LEN,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
LH,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
LHX,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
LIN,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
LKQ,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
LLY,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
LMT,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
LNC,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
LNT,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
LOW,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
LRCX,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
LUV,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
LVS,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
LW,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
LYB,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
LYV,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
M,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MA,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MAA,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MAR,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MAS,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MCD,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MCHP,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MCK,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MCO,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MDLZ,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
MDT,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
